,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,swing
149,000300.SH,20231116,3572.3641,3600.9813,3605.2898,3572.3636,3607.2454,-34.8813,-0.967,87464780.0,146629217.158,
150,000300.SH,20231115,3607.2454,3616.8765,3620.6007,3596.9158,3582.0584,25.187,0.7031,104929218.0,188932150.501,
151,000300.SH,20231114,3582.0584,3581.1034,3600.1483,3568.882,3579.4141,2.6443,0.0739,100884158.0,165935163.426,
152,000300.SH,20231113,3579.4141,3593.9109,3599.3897,3562.7682,3586.4893,-7.0752,-0.1973,96707649.0,164821249.625,
153,000300.SH,20231110,3586.4893,3596.0688,3599.4519,3576.1011,3612.8263,-26.337,-0.729,102107034.0,166924677.328,
154,000300.SH,20231109,3612.8263,3603.1082,3624.4141,3601.3744,3611.0723,1.754,0.0486,111872057.0,189355228.592,
155,000300.SH,20231108,3611.0723,3610.6434,3627.0479,3591.8248,3619.7593,-8.687,-0.24,110594230.0,192594372.353,
156,000300.SH,20231107,3619.7593,3623.7849,3628.4615,3606.2975,3632.6084,-12.8491,-0.3537,110288591.0,190433605.311,
157,000300.SH,20231106,3632.6084,3608.3187,3635.7897,3600.6304,3584.1364,48.472,1.3524,152982463.0,254465948.11,
158,000300.SH,20231103,3584.1364,3558.5303,3596.101,3558.5303,3554.1889,29.9475,0.8426,97542101.0,165865989.2,
159,000300.SH,20231102,3554.1889,3580.0672,3597.1699,3553.7406,3571.0268,-16.8379,-0.4715,90359643.0,149465055.434,
160,000300.SH,20231101,3571.0268,3605.7576,3606.4126,3564.6421,3572.5056,-1.4788,-0.0414,97645538.0,182943566.435,
161,000300.SH,20231031,3572.5056,3581.6759,3581.6759,3554.5822,3583.7718,-11.2662,-0.3144,112587267.0,196317658.324,
162,000300.SH,20231030,3583.7718,3554.1055,3592.7188,3554.0238,3562.3851,21.3867,0.6003,144010426.0,242973328.094,
163,000300.SH,20231027,3562.3851,3501.171,3576.5861,3494.5488,3514.1448,48.2403,1.3727,120225108.0,224301960.437,
164,000300.SH,20231026,3514.1448,3484.7807,3515.5716,3478.0503,3504.4576,9.6872,0.2764,105143566.0,176088467.226,
165,000300.SH,20231025,3504.4576,3524.2965,3531.8314,3500.9154,3487.1302,17.3274,0.4969,128009617.0,203691741.119,
166,000300.SH,20231024,3487.1302,3481.7644,3495.0039,3453.1016,3474.2438,12.8864,0.3709,115547289.0,186529203.442,
167,000300.SH,20231023,3474.2438,3500.199,3505.3468,3450.6456,3510.5889,-36.3451,-1.0353,96561652.0,152054894.179,
168,000300.SH,20231020,3510.5889,3518.3464,3535.6623,3501.725,3533.5445,-22.9556,-0.6496,98518605.0,169591289.145,
169,000300.SH,20231019,3533.5445,3588.5154,3588.5154,3532.3059,3610.5767,-77.0322,-2.1335,111737520.0,189194781.844,
170,000300.SH,20231018,3610.5767,3631.0671,3632.0579,3608.9768,3639.4018,-28.8251,-0.792,94545879.0,158982356.667,
171,000300.SH,20231017,3639.4018,3635.2994,3645.5654,3619.1277,3626.5972,12.8046,0.3531,90745188.0,147056233.347,
172,000300.SH,20231016,3626.5972,3664.039,3664.039,3615.7686,3663.4104,-36.8132,-1.0049,91853118.0,159537973.598,
173,000300.SH,20231013,3663.4104,3677.9585,3678.1913,3652.3094,3702.3824,-38.972,-1.0526,98287987.0,170152309.003,
174,000300.SH,20231012,3702.3824,3697.9337,3711.4985,3682.8418,3667.5483,34.8341,0.9498,114363225.0,194598219.817,
175,000300.SH,20231011,3667.5483,3674.7514,3689.5347,3658.355,3657.1259,10.4224,0.285,102091587.0,187667554.127,
