,trade_date,0,close
553,20140422,DR007.IB,3.07
554,20140423,DR007.IB,3.1
555,20140424,DR007.IB,3.53
556,20140425,DR007.IB,3.51
557,20140428,DR007.IB,4.0
558,20140429,DR007.IB,4.0
559,20140430,DR007.IB,4.08
560,20140505,DR007.IB,2.36
561,20140506,DR007.IB,3.1
562,20140507,DR007.IB,3.1
563,20140508,DR007.IB,3.21
564,20140509,DR007.IB,3.18
565,20140512,DR007.IB,3.2
566,20140513,DR007.IB,3.18
567,20140514,DR007.IB,3.2
568,20140515,DR007.IB,3.15
569,20140516,DR007.IB,3.4
570,20140519,DR007.IB,3.1
571,20140520,DR007.IB,3.37
572,20140521,DR007.IB,3.35
573,20140522,DR007.IB,3.41
574,20140523,DR007.IB,2.22
575,20140526,DR007.IB,2.6
576,20140527,DR007.IB,2.55
577,20140528,DR007.IB,3.2
578,20140529,DR007.IB,3.24
579,20140530,DR007.IB,3.3
580,20140603,DR007.IB,3.18
581,20140604,DR007.IB,3.15
582,20140605,DR007.IB,2.8
583,20140606,DR007.IB,2.9
584,20140609,DR007.IB,3.13
585,20140610,DR007.IB,3.13
586,20140611,DR007.IB,3.1
587,20140612,DR007.IB,3.16
588,20140613,DR007.IB,3.02
589,20140616,DR007.IB,3.02
590,20140617,DR007.IB,3.1
591,20140618,DR007.IB,3.09
592,20140619,DR007.IB,3.3
593,20140620,DR007.IB,3.49
594,20140623,DR007.IB,3.47
595,20140624,DR007.IB,3.52
596,20140625,DR007.IB,3.47
597,20140626,DR007.IB,3.65
598,20140627,DR007.IB,3.64
599,20140630,DR007.IB,4.7
600,20140701,DR007.IB,3.43
601,20140702,DR007.IB,3.92
602,20140703,DR007.IB,3.42
603,20140704,DR007.IB,3.37
604,20140707,DR007.IB,3.47
605,20140708,DR007.IB,3.56
606,20140709,DR007.IB,3.77
607,20140710,DR007.IB,4.0
608,20140711,DR007.IB,3.76
609,20140714,DR007.IB,3.78
610,20140715,DR007.IB,3.71
611,20140716,DR007.IB,3.48
612,20140717,DR007.IB,4.0
613,20140718,DR007.IB,3.75
614,20140721,DR007.IB,4.0
615,20140722,DR007.IB,5.1
616,20140723,DR007.IB,4.6
617,20140724,DR007.IB,4.16
618,20140725,DR007.IB,4.12
619,20140728,DR007.IB,4.23
620,20140729,DR007.IB,4.15
621,20140730,DR007.IB,3.97
622,20140731,DR007.IB,4.12
623,20140801,DR007.IB,3.87
624,20140804,DR007.IB,3.38
625,20140805,DR007.IB,3.94
626,20140806,DR007.IB,3.27
627,20140807,DR007.IB,3.5
628,20140808,DR007.IB,3.73
629,20140811,DR007.IB,3.55
630,20140812,DR007.IB,3.39
631,20140813,DR007.IB,3.7
632,20140814,DR007.IB,3.52
633,20140815,DR007.IB,3.53
634,20140818,DR007.IB,3.25
635,20140819,DR007.IB,3.28
636,20140820,DR007.IB,3.42
637,20140821,DR007.IB,3.5
638,20140822,DR007.IB,3.45
639,20140825,DR007.IB,3.36
640,20140826,DR007.IB,3.35
