日期,沪深300,中证500,国债指数,30年国债,大宗商品,豆粕指数,黄金(申万)
Date,000300.SH,000905.SH,000012.SH,931080.CSI,000979.CSI,MFI.WI,850531.SI
2012/10/18,1.5331,1.668,0.0096,-0.1244,1.4777,0.9764,0.7757
2012/10/19,-0.1544,-0.285,0.0126,-0.0858,-0.5233,0.4067,-1.6075
2012/10/22,0.3911,0.397,0.0222,-0.1265,0.0894,1.0327,-0.2418
2012/10/23,-1.2605,-1.1951,0.0111,0.2034,-1.1138,-1.7142,0.204
2012/10/24,-0.1859,-0.0352,0.0104,0.0277,-0.3711,1.2643,-0.8202
2012/10/25,-0.7167,-0.9745,0.0081,-0.1347,-0.976,-0.7384,0.4887
2012/10/26,-1.8912,-1.949,0.0148,-0.0693,-2.5551,0.1468,-3.1911
2012/10/29,-0.5362,-0.1376,0.02,0.2181,-0.6079,-1.6887,0.5201
2012/10/30,0.1802,0.0552,0.0022,0.0553,-0.2266,-0.0617,-0.8456
2012/10/31,0.6669,0.2344,-0.0015,-0.0664,0.4411,0.6862,-0.892
2012/11/1,1.9099,1.8968,-0.0037,-0.1319,2.0614,1.8322,2.46
2012/11/2,0.3869,0.6617,0.0089,0.1561,0.0573,-0.9443,-0.7823
2012/11/5,-0.2122,-0.437,0.0274,0.0267,-0.0706,-1.3505,-1.7122
2012/11/6,-0.4203,-0.6828,0.0104,0.0894,-0.7857,0.7473,1.3568
2012/11/7,-0.2051,-0.1282,0.0067,0.1916,0.5752,-0.758,2.8214
2012/11/8,-1.8404,-2.4796,0.0096,-0.0524,-3.1281,-0.1087,-2.7157
2012/11/9,-0.1996,-0.4023,0.0155,0.0451,-0.3771,-0.8956,0.4196
2012/11/12,0.4875,0.6202,0.0266,0.0414,0.8265,-3.7913,-0.0647
2012/11/13,-1.75,-2.0466,0.0096,0.0919,-2.0714,-1.4239,-2.6259
2012/11/14,0.4823,0.2973,0.0103,0.1221,0.8433,1.0498,0.4317
2012/11/15,-1.3264,-1.7658,0.0103,0.077,-2.0206,-2.3262,-1.6835
2012/11/16,-0.7468,-0.5845,0.0103,0.1649,-1.014,-0.4577,-1.9164
2012/11/19,-0.1036,0.2328,0.0259,0.1235,0.5588,1.1043,1.0834
2012/11/20,-0.4646,-0.3971,0.0126,-0.032,-0.5131,-1.1585,-0.1405
2012/11/21,1.3865,1.0352,0.0126,-0.0896,1.528,0.947,0.4118
2012/11/22,-0.7905,-1.3241,0.0089,-0.1089,-0.902,-0.1165,-0.705
2012/11/23,0.6948,0.3461,0.0052,-0.011,0.4427,2.0109,0.1905
2012/11/26,-0.7788,-1.1691,0.0266,-0.0311,-0.9344,-1.009,1.5922
2012/11/27,-1.1473,-3.5738,0.0081,-0.0403,-3.0358,0.5763,-0.8776
2012/11/28,-0.9986,-2.2217,0.0052,0.0367,-1.9263,0.992,-2.7907
2012/11/29,-0.6333,-0.9413,-0.0531,0.2327,-1.3722,0.3701,-2.2645
2012/11/30,1.1337,1.5301,0.0148,-0.0539,0.9161,-0.9014,1.4218
2012/12/3,-1.44,-2.3961,0.0251,-0.0119,-2.7033,1.3595,-2.5556
2012/12/4,1.0728,1.2469,0.0133,-0.097,0.6083,-0.9965,-0.6844
2012/12/5,3.5846,3.6924,0.0074,-0.0586,4.1397,0.1908,3.0481
2012/12/6,-0.1937,-0.0637,0.0103,0.0559,-0.5274,0.6193,-1.6845
2012/12/7,1.9584,2.2828,0.0059,-0.1547,3.1378,0.8607,2.9565
2012/12/10,1.0811,1.7639,0.014,0.0614,1.8791,-0.8158,1.0279
2012/12/11,-0.5524,-0.673,-0.121,0.0247,-0.263,0.8133,-0.8593
2012/12/12,0.4103,0.0288,0.1351,0.1054,0.0929,-0.7527,3.7492
2012/12/13,-1.1082,-1.3279,0.0103,0.0101,-1.5088,0.1061,-2.9279
2012/12/14,5.049,4.1775,0.0155,-0.1025,4.4077,1.4828,2.9689
2012/12/17,0.4599,0.8363,0.0147,0.0669,1.4705,0.9379,0.2893
2012/12/18,0.06,-0.1711,0.0044,0.0009,-0.07,-1.0113,0.7935
2012/12/19,0.1262,0.4052,0.0133,-0.0165,-0.231,-1.383,-1.6845
2012/12/20,0.5781,0.3152,-0.0133,0.1145,1.3511,-1.9294,0.2039
2012/12/21,-0.5373,-0.2504,0.0184,-0.0567,-0.4255,-0.4711,-1.2548
2012/12/24,0.3885,0.5361,0.0214,0.0961,0.0201,-0.0281,0.7237
2012/12/25,2.8212,2.2898,-0.0074,0.0549,2.3315,-0.9398,1.142
2012/12/26,0.3767,1.2413,0.0147,-0.032,1.0555,0.3711,2.264
2012/12/27,-0.53,-0.9042,0.0059,0.0878,-0.9558,0.8127,-0.2121
2012/12/28,1.4503,1.1162,0.0103,0.1142,0.9247,-0.9443,0.746
2012/12/31,1.7299,1.257,0.0317,0.0648,1.2364,-1.869,1
2013/1/4,0.0577,-0.5375,0.0383,-0.1668,-0.1605,-0.9854,-1.7656
2013/1/7,0.4586,0.9244,0.0258,0.0502,0.3111,0.2617,-0.7226
2013/1/8,-0.4202,1.176,0.0029,0.0977,0.5178,0.6323,0.0045
2013/1/9,0.0315,0.2389,0.0096,0.072,0.8123,-0.7192,0.1722
2013/1/10,0.1759,0.6406,0.0022,-0.0492,-0.0279,-0.1661,1.1188
2013/1/11,-1.8707,-2.5376,-0.0096,-0.1185,-2.8768,-0.35,-2.1109
2013/1/14,3.8053,3.4717,0.0316,0.0091,3.3183,2.9141,1.9172
2013/1/15,0.7034,1.9481,0.0103,0.083,2.0927,-0.0907,1.5526
2013/1/16,-0.7228,-0.0035,0.0125,-0.01,0.8181,1.0577,2.0421
2013/1/17,-0.9442,-1.2328,0.0235,0.072,-1.691,-0.7878,-2.2721
2013/1/18,1.672,1.6615,-0.0037,0.1659,1.4771,0.0382,1.3794
2013/1/21,0.5956,0.7642,0.0199,0.0337,0.7296,0.4495,-0.4505
2013/1/22,-0.5362,-1.5951,0.014,0.07,-1.4091,0.6855,-1.5049
2013/1/23,0.4066,0.1837,0.0088,0.0827,-0.4496,-0.0151,-0.4585
2013/1/24,-0.9473,-2.0923,0.011,-0.1017,-2.2126,-2.3784,-2.519
2013/1/25,-0.429,-0.1683,0.0088,0.0164,0.1902,0.7045,0.2015
2013/1/28,3.1182,2.5485,0.0228,-0.0618,2.3535,1.3224,0.9976
2013/1/29,0.9051,0.9486,0.014,-0.0655,1.4401,-0.4197,1.5257
2013/1/30,0.48,0.5186,0.0059,-0.0046,0.1372,1.9031,-1.0206
2013/1/31,-0.068,-0.5982,-0.0037,0.0055,0.9254,0.5399,1.3924
2013/2/1,2.1007,0.8067,0.0176,0.0673,0.2415,0.5072,-0.6221
2013/2/4,0.1715,-0.6656,0.0286,0.3428,1.5415,-0.4694,1.8295
2013/2/5,0.8605,1.0413,0.011,-0.3607,0.7896,0.1025,0.3281
2013/2/6,0.1504,0.6743,0.0433,-0.0246,-0.1087,0.3769,-0.2437
2013/2/7,-0.5755,0.3747,0.011,0.091,-0.2291,-0.555,1.5218
2013/2/8,0.4295,1.4313,-0.0609,0.0073,0.9626,0.6922,-0.339
2013/2/18,-1.2358,0.5317,0.2041,0.1718,-1.0415,-2.372,-3.7634
2013/2/19,-1.8946,-1.8308,-0.0154,-0.0054,-2.4027,0.4587,-1.2607
2013/2/20,0.6341,2.0784,0.0117,0.0172,1.3606,1.4576,0.5842
2013/2/21,-3.4073,-2.0647,0.0176,0.1923,-3.6305,0.2805,-4.0229
2013/2/22,-0.5342,-0.3359,0.0081,-0.1449,-0.0371,1.8466,0.6978
2013/2/25,0.3218,1.1056,0.0315,-0.0317,0.5465,-2.1435,-0.1019
2013/2/26,-1.4344,-1.5159,0.0081,-0.1225,-2.1155,-1.3005,-1.2995
2013/2/27,1.0548,0.0762,0.019,0.0472,0.4634,0.416,0.8391
2013/2/28,3.0312,2.0448,0.0059,0.0109,2.1809,0.4187,0.8685
2013/3/1,-0.168,1.1148,0.0095,-0.0418,-0.111,1.3572,-0.5674
2013/3/4,-4.6133,-3.5551,0.0425,0.1153,-4.3698,-0.3586,-2.4164
2013/3/5,3.0283,2.251,0.011,0.1224,1.7195,0.8821,1.033
2013/3/6,1.0445,1.5568,0.008,0.029,1.1716,-0.2497,0.3332
2013/3/7,-1.1593,-1.2122,-0.0015,-0.019,0.0478,0.1543,0.5107
2013/3/8,-0.4792,-1.0876,0.0102,0.0082,-0.8815,0.5226,-1.0133
2013/3/11,-0.5583,0.0203,0.0234,0.0127,-0.3183,-0.6803,-0.0507
2013/3/12,-1.4179,-2.5183,0.0095,0.0091,-2.2894,-1.2802,-1.4473
2013/3/13,-1.1007,-0.9142,0.0176,-0.0172,-0.1221,-0.0162,0.0303
2013/3/14,0.2685,0.4495,0.011,0.0254,-0.1915,-1.7572,-1.4723
2013/3/15,0.221,0.1836,0.0066,-0.048,-0.216,0.4681,-0.7619
